AsAt,Occupation,Score,n,maxsub
03/2025,253411 Psychiatrist,75,1,45720.607917974536
03/2025,253411 Psychiatrist,70,1,45543.69025709491
03/2025,253411 Psychiatrist,85,1,45677.95193383102
03/2025,323213 Fitter-Welder,65,1,45619.30698587963
03/2025,251411 Optometrist,70,2,45592.76924336806
03/2025,251411 Optometrist,80,1,45695.86096478009
03/2025,251411 Optometrist,60,1,45706.69994695602
03/2025,251214 Sonographer,65,1,45732.52489236111
03/2025,251214 Sonographer,75,1,45599.620712731485
03/2025,251214 Sonographer,70,1,45405.94942913194
03/2025,251214 Sonographer,80,1,45649.79967662037
03/2025,334112 Airconditioning and Mechanical Services Plumber,65,5,45742.901792476856
03/2025,334112 Airconditioning and Mechanical Services Plumber,70,1,45690.9795378125
03/2025,334112 Airconditioning and Mechanical Services Plumber,90,1,45550.52391107639
03/2025,334112 Airconditioning and Mechanical Services Plumber,60,1,45588.031499537035
03/2025,253318 Neurologist,70,1,45725.44866886574
03/2025,253318 Neurologist,80,2,45551.77884517361
03/2025,334115 Roof Plumber,65,1,45553.32614984954
03/2025,334115 Roof Plumber,85,1,45646.467585300925
03/2025,272311 Clinical Psychologist,75,1,45573.482724305555
03/2025,272311 Clinical Psychologist,70,2,45718.420531909724
03/2025,272311 Clinical Psychologist,95,1,45743.59424467593
03/2025,272311 Clinical Psychologist,85,1,45740.5132724537
03/2025,254411 Nurse Practitioner,65,2,45699.94030188657
03/2025,254411 Nurse Practitioner,75,1,45678.08431744213
03/2025,254411 Nurse Practitioner,70,1,45552.09011762732
03/2025,254411 Nurse Practitioner,85,1,45611.07929297454
03/2025,254411 Nurse Practitioner,100,1,45565.279126469904
03/2025,251212 Medical Radiation Therapist,70,3,45740.81962731481
03/2025,341113 Lift Mechanic,65,1,45589.0503372338
03/2025,341113 Lift Mechanic,70,1,45642.97364575231
03/2025,252611 Podiatrist,65,2,45725.955754780094
03/2025,252611 Podiatrist,75,3,45715.56485138889
03/2025,252611 Podiatrist,70,2,45567.2283962963
03/2025,252611 Podiatrist,90,2,45520.92722815972
03/2025,241599 Special Education Teachers nec,65,1,45719.916216550926
03/2025,241599 Special Education Teachers nec,75,1,45359.31611693287
03/2025,253311 Specialist Physician (General Medicine),65,2,45741.62887673611
03/2025,253311 Specialist Physician (General Medicine),80,1,45701.00500528935
03/2025,253311 Specialist Physician (General Medicine),90,1,45659.06237673611
03/2025,211112 Dancer or Choreographer,75,2,45716.611261921294
03/2025,361112 Horse Trainer,65,1,45740.54827453704
03/2025,361112 Horse Trainer,70,1,45589.508466782405
03/2025,272312 Educational Psychologist,70,1,45623.728942511574
03/2025,253913 Obstetrician and Gynaecologist,75,1,45615.12782361111
03/2025,253913 Obstetrician and Gynaecologist,70,1,45633.7522880787
03/2025,253913 Obstetrician and Gynaecologist,80,1,45606.56796403935
03/2025,253324 Thoracic Medicine Specialist,75,1,45586.91449884259
03/2025,253324 Thoracic Medicine Specialist,70,1,45603.90381736111
03/2025,253324 Thoracic Medicine Specialist,80,1,45653.86094991898
03/2025,333211 Fibrous Plasterer,65,1,45628.7542715625
03/2025,333211 Fibrous Plasterer,60,1,45567.187230787036
03/2025,334114 Gasfitter,65,1,45543.886036805554
03/2025,334114 Gasfitter,75,1,45636.94304629629
03/2025,334114 Gasfitter,70,1,45605.054845289356
03/2025,253514 Orthopaedic Surgeon,65,1,45681.480832256944
03/2025,253514 Orthopaedic Surgeon,80,1,45710.808995405096
03/2025,254416 Registered Nurse (Developmental Disability),75,1,45698.89272966435
03/2025,254416 Registered Nurse (Developmental Disability),70,2,45571.92815494213
03/2025,253316 Gastroenterologist,50,1,45640.513158217596
03/2025,321213 Motorcycle Mechanic,65,1,45712.74783487269
03/2025,331112 Stonemason,70,1,45512.74914753472
03/2025,253915 Pathologist,65,1,45686.00907893518
02/2025,261312 Developer Programmer,65,166,45716.94227708333
02/2025,261312 Developer Programmer,75,244,45716.99861481482
02/2025,261312 Developer Programmer,70,223,45716.92390355324
02/2025,261312 Developer Programmer,80,227,45716.78501716435
02/2025,261312 Developer Programmer,95,121,45715.72626226852
02/2025,261312 Developer Programmer,90,238,45714.57718622685
02/2025,261312 Developer Programmer,85,237,45716.598049849534
02/2025,261312 Developer Programmer,55,12,45673.47727885417
02/2025,261312 Developer Programmer,60,24,45699.890671875
02/2025,261312 Developer Programmer,50,3,45702.507524733795
02/2025,261312 Developer Programmer,110,1,45603.902996875
02/2025,261312 Developer Programmer,100,22,45643.71850883102
02/2025,261312 Developer Programmer,105,1,45618.83598225695
02/2025,261312 Developer Programmer,45,1,45673.74990501157
02/2025,321211 Motor Mechanic (General),65,142,45715.98654915509
02/2025,321211 Motor Mechanic (General),75,98,45714.90948480324
02/2025,321211 Motor Mechanic (General),70,107,45714.52520239583
02/2025,321211 Motor Mechanic (General),80,55,45694.941491631944
02/2025,321211 Motor Mechanic (General),90,8,45614.88259247685
02/2025,321211 Motor Mechanic (General),85,23,45716.5678533912
02/2025,321211 Motor Mechanic (General),55,11,45705.85322372685
02/2025,321211 Motor Mechanic (General),60,21,45697.82306539352
02/2025,321211 Motor Mechanic (General),50,1,45632.85693480324
02/2025,233211 Civil Engineer,65,309,45716.82194533565
02/2025,233211 Civil Engineer,75,413,45715.865066087965
02/2025,233211 Civil Engineer,70,379,45715.50811866898
02/2025,233211 Civil Engineer,80,380,45715.73412075231
02/2025,233211 Civil Engineer,95,16,45671.59291403935
02/2025,233211 Civil Engineer,90,134,45714.00880844907
02/2025,233211 Civil Engineer,85,270,45716.37183888889
02/2025,233211 Civil Engineer,55,19,45698.73062346065
02/2025,233211 Civil Engineer,60,59,45710.17543966435
02/2025,233211 Civil Engineer,50,10,45714.0719832176
02/2025,233211 Civil Engineer,100,4,45637.71817314815
02/2025,233211 Civil Engineer,45,5,45715.017296875
02/2025,241111 Early Childhood (Pre-primary School) Teacher,65,309,45716.75236883102
02/2025,241111 Early Childhood (Pre-primary School) Teacher,75,363,45716.78299695602
02/2025,241111 Early Childhood (Pre-primary School) Teacher,70,436,45716.726122685184
02/2025,241111 Early Childhood (Pre-primary School) Teacher,80,230,45716.81599452546
02/2025,241111 Early Childhood (Pre-primary School) Teacher,95,2,45695.11218052083
02/2025,241111 Early Childhood (Pre-primary School) Teacher,90,8,45712.529032094906
02/2025,241111 Early Childhood (Pre-primary School) Teacher,85,89,45716.752968981484
02/2025,241111 Early Childhood (Pre-primary School) Teacher,55,6,45713.81686427083
02/2025,241111 Early Childhood (Pre-primary School) Teacher,60,39,45715.71779201389
02/2025,241111 Early Childhood (Pre-primary School) Teacher,50,5,45716.42289216435
02/2025,261111 ICT Business Analyst,65,224,45715.98764841435
02/2025,261111 ICT Business Analyst,75,376,45716.89183457176
02/2025,261111 ICT Business Analyst,70,263,45716.4935602662
02/2025,261111 ICT Business Analyst,80,329,45716.68781137731
02/2025,261111 ICT Business Analyst,95,173,45715.45758109954
02/2025,261111 ICT Business Analyst,90,388,45716.839459456016
02/2025,261111 ICT Business Analyst,85,336,45716.78715952546
02/2025,261111 ICT Business Analyst,55,12,45677.986121180555
02/2025,261111 ICT Business Analyst,60,37,45707.6281184838
02/2025,261111 ICT Business Analyst,50,1,45566.755892905094
02/2025,261111 ICT Business Analyst,100,33,45708.65184143519
02/2025,261111 ICT Business Analyst,45,1,45274.52388017361
02/2025,261313 Software Engineer,65,293,45716.655431099534
02/2025,261313 Software Engineer,75,395,45716.95428336805
02/2025,261313 Software Engineer,70,347,45716.92120300926
02/2025,261313 Software Engineer,80,341,45716.765744097225
02/2025,261313 Software Engineer,95,157,45713.37760289352
02/2025,261313 Software Engineer,90,364,45715.50758603009
02/2025,261313 Software Engineer,85,351,45716.55471519676
02/2025,261313 Software Engineer,55,25,45703.84371825231
02/2025,261313 Software Engineer,60,56,45716.58821793982
02/2025,261313 Software Engineer,50,4,45673.148672800926
02/2025,261313 Software Engineer,100,26,45710.75337623843
02/2025,261313 Software Engineer,105,1,45618.83056825231
02/2025,261313 Software Engineer,45,3,45705.90396577546
02/2025,261313 Software Engineer,35,1,45475.83288954861
02/2025,221111 Accountant (General),65,220,45716.93339135416
02/2025,221111 Accountant (General),75,341,45716.894348761576
02/2025,221111 Accountant (General),70,338,45716.59891107639
02/2025,221111 Accountant (General),80,288,45716.8391346412
02/2025,221111 Accountant (General),95,103,45711.506135185184
02/2025,221111 Accountant (General),90,205,45716.753350844905
02/2025,221111 Accountant (General),85,264,45715.204119710645
02/2025,221111 Accountant (General),55,10,45714.998461655094
02/2025,221111 Accountant (General),60,30,45710.82150381945
02/2025,221111 Accountant (General),100,19,45680.085067395834
02/2025,221111 Accountant (General),45,2,45573.65060228009
02/2025,221111 Accountant (General),35,1,45614.67377908565
02/2025,262112 ICT Security Specialist,65,90,45716.795374733796
02/2025,262112 ICT Security Specialist,75,148,45716.7649846412
02/2025,262112 ICT Security Specialist,70,105,45716.71905100695
02/2025,262112 ICT Security Specialist,80,120,45716.791993252315
02/2025,262112 ICT Security Specialist,95,58,45714.56902962963
02/2025,262112 ICT Security Specialist,90,122,45716.39715289352
02/2025,262112 ICT Security Specialist,85,145,45715.9127315625
02/2025,262112 ICT Security Specialist,55,5,45678.654219675926
02/2025,262112 ICT Security Specialist,60,12,45694.61723568287
02/2025,262112 ICT Security Specialist,50,1,45604.82727461806
02/2025,262112 ICT Security Specialist,100,5,45630.50204748842
02/2025,262112 ICT Security Specialist,45,1,45632.54673920139
02/2025,221213 External Auditor,65,114,45714.64064456019
02/2025,221213 External Auditor,75,192,45715.02771234953
02/2025,221213 External Auditor,70,218,45716.58383483796
02/2025,221213 External Auditor,80,202,45716.82682997685
02/2025,221213 External Auditor,95,15,45692.53655034722
02/2025,221213 External Auditor,90,142,45707.58947615741
02/2025,221213 External Auditor,85,227,45716.91755590278
02/2025,221213 External Auditor,55,2,45173.84815952546
02/2025,221213 External Auditor,60,30,45714.5249821412
02/2025,221213 External Auditor,100,1,45603.449114814815
02/2025,234515 Botanist,65,1,45605.90761469907
02/2025,234515 Botanist,75,2,45639.830520868054
02/2025,233512 Mechanical Engineer,65,284,45714.22468622685
02/2025,233512 Mechanical Engineer,75,329,45715.698688310185
02/2025,233512 Mechanical Engineer,70,283,45715.89962045139
02/2025,233512 Mechanical Engineer,80,286,45716.89074236111
02/2025,233512 Mechanical Engineer,95,19,45696.335130671294
02/2025,233512 Mechanical Engineer,90,145,45715.52913931713
02/2025,233512 Mechanical Engineer,85,264,45715.93469417824
02/2025,233512 Mechanical Engineer,55,24,45701.72717557871
02/2025,233512 Mechanical Engineer,60,49,45716.65120922454
02/2025,233512 Mechanical Engineer,50,13,45709.910022303244
02/2025,233512 Mechanical Engineer,100,3,45625.677034340275
02/2025,233512 Mechanical Engineer,40,1,45650.08781157408
02/2025,233512 Mechanical Engineer,45,2,45693.6278684375
02/2025,233999 Engineering Professionals nec,65,38,45715.731699502314
02/2025,233999 Engineering Professionals nec,75,43,45715.633059872685
02/2025,233999 Engineering Professionals nec,70,48,45714.79582719907
02/2025,233999 Engineering Professionals nec,80,66,45716.83243371527
02/2025,233999 Engineering Professionals nec,95,5,45673.6087897338
02/2025,233999 Engineering Professionals nec,90,16,45690.64521994213
02/2025,233999 Engineering Professionals nec,85,56,45715.521669131944
02/2025,233999 Engineering Professionals nec,55,6,45693.495441203704
02/2025,233999 Engineering Professionals nec,60,5,45715.479066203705
02/2025,233999 Engineering Professionals nec,50,3,45700.03392418982
02/2025,234111 Agricultural Consultant,65,31,45688.669287349534
02/2025,234111 Agricultural Consultant,75,27,45706.99607434028
02/2025,234111 Agricultural Consultant,70,34,45714.473825810186
02/2025,234111 Agricultural Consultant,80,17,45686.52546832176
02/2025,234111 Agricultural Consultant,95,3,45667.69056577546
02/2025,234111 Agricultural Consultant,90,8,45652.78547994213
02/2025,234111 Agricultural Consultant,85,12,45701.545817743056
02/2025,234111 Agricultural Consultant,55,5,45715.503162037036
02/2025,234111 Agricultural Consultant,60,8,45678.54857762731
02/2025,234111 Agricultural Consultant,50,1,45599.81042461806
02/2025,234111 Agricultural Consultant,100,1,45712.990912650464
02/2025,254418 Registered Nurse (Medical),65,84,45715.834509953704
02/2025,254418 Registered Nurse (Medical),75,42,45713.62413996528
02/2025,254418 Registered Nurse (Medical),70,70,45716.69116203704
02/2025,254418 Registered Nurse (Medical),80,15,45700.69035153935
02/2025,254418 Registered Nurse (Medical),90,2,45629.92691519676
02/2025,254418 Registered Nurse (Medical),85,1,45709.5999863426
02/2025,254418 Registered Nurse (Medical),55,4,45701.432368368056
02/2025,254418 Registered Nurse (Medical),60,14,45703.021748761574
02/2025,254418 Registered Nurse (Medical),50,1,45632.1571315162
02/2025,351311 Chef,65,493,45715.73174116898
02/2025,351311 Chef,75,312,45716.80233371528
02/2025,351311 Chef,70,414,45716.90650003472
02/2025,351311 Chef,80,179,45714.95769471065
02/2025,351311 Chef,95,3,45646.50311478009
02/2025,351311 Chef,90,36,45715.80736160879
02/2025,351311 Chef,85,88,45715.67756793981
02/2025,351311 Chef,55,24,45701.66754170139
02/2025,351311 Chef,60,73,45715.664224340275
02/2025,351311 Chef,50,9,45699.66361883102
02/2025,351311 Chef,100,1,45540.96098070602
02/2025,351311 Chef,105,2,45706.760803240744
02/2025,351311 Chef,45,1,45608.847075578706
02/2025,233411 Electronics Engineer,65,94,45715.841300266206
02/2025,233411 Electronics Engineer,75,122,45714.746581747684
02/2025,233411 Electronics Engineer,70,104,45716.00701006944
02/2025,233411 Electronics Engineer,80,119,45715.01268179398
02/2025,233411 Electronics Engineer,95,9,45605.61540335648
02/2025,233411 Electronics Engineer,90,51,45706.0205102662
02/2025,233411 Electronics Engineer,85,91,45713.837249502314
02/2025,233411 Electronics Engineer,55,16,45714.96271184028
02/2025,233411 Electronics Engineer,60,23,45707.38615737268
02/2025,233411 Electronics Engineer,50,3,45666.2788741088
02/2025,233411 Electronics Engineer,100,2,45590.53563356481
02/2025,261112 Systems Analyst,65,122,45715.76233052083
02/2025,261112 Systems Analyst,75,207,45715.74201137731
02/2025,261112 Systems Analyst,70,137,45715.757445868054
02/2025,261112 Systems Analyst,80,213,45716.90601721065
02/2025,261112 Systems Analyst,95,96,45716.59922256944
02/2025,261112 Systems Analyst,90,223,45716.64403888889
02/2025,261112 Systems Analyst,85,190,45716.677165891204
02/2025,261112 Systems Analyst,55,5,45659.73532118055
02/2025,261112 Systems Analyst,60,20,45707.70665894676
02/2025,261112 Systems Analyst,100,13,45708.66612040509
02/2025,233912 Agricultural Engineer,65,7,45678.97920775463
02/2025,233912 Agricultural Engineer,75,5,45645.87141230324
02/2025,233912 Agricultural Engineer,70,4,45715.989758483796
02/2025,233912 Agricultural Engineer,80,4,45636.55193082176
02/2025,233912 Agricultural Engineer,95,1,45586.77077700231
02/2025,233912 Agricultural Engineer,90,1,45477.26657395833
02/2025,233912 Agricultural Engineer,85,2,45603.90771168981
02/2025,263111 Computer Network and Systems Engineer,65,126,45716.66288101852
02/2025,263111 Computer Network and Systems Engineer,75,246,45716.9153158912
02/2025,263111 Computer Network and Systems Engineer,70,137,45715.83756721065
02/2025,263111 Computer Network and Systems Engineer,80,176,45716.81684667824
02/2025,263111 Computer Network and Systems Engineer,95,83,45704.21550181713
02/2025,263111 Computer Network and Systems Engineer,90,150,45715.845176076386
02/2025,263111 Computer Network and Systems Engineer,85,183,45715.91392630787
02/2025,263111 Computer Network and Systems Engineer,55,10,45701.69686736111
02/2025,263111 Computer Network and Systems Engineer,60,21,45675.656041469905
02/2025,263111 Computer Network and Systems Engineer,50,5,45698.16021840278
02/2025,263111 Computer Network and Systems Engineer,100,12,45713.908574305555
02/2025,263111 Computer Network and Systems Engineer,40,1,45552.13451230324
02/2025,234211 Chemist,65,29,45679.789392164355
02/2025,234211 Chemist,75,22,45697.002497685186
02/2025,234211 Chemist,70,19,45707.248088506945
02/2025,234211 Chemist,80,22,45705.80979146991
02/2025,234211 Chemist,95,2,45704.01462893518
02/2025,234211 Chemist,90,6,45704.43551403935
02/2025,234211 Chemist,85,20,45702.526530324074
02/2025,234211 Chemist,55,1,45513.663656979166
02/2025,234211 Chemist,60,5,45711.913038425926
02/2025,234211 Chemist,50,2,45648.53898434028
02/2025,234211 Chemist,100,2,45606.81369383102
02/2025,234211 Chemist,105,1,45694.768561377314
02/2025,271311 Solicitor,65,19,45713.37143630787
02/2025,271311 Solicitor,75,45,45716.98366612269
02/2025,271311 Solicitor,70,30,45712.946615162036
02/2025,271311 Solicitor,80,47,45716.62262519676
02/2025,271311 Solicitor,95,4,45616.84644849537
02/2025,271311 Solicitor,90,44,45707.567963657406
02/2025,271311 Solicitor,85,66,45712.897036423616
02/2025,271311 Solicitor,55,1,45672.68475216435
02/2025,271311 Solicitor,60,9,45593.67361203703
02/2025,271311 Solicitor,50,1,45668.526434837964
02/2025,271311 Solicitor,100,1,45675.36007549769
02/2025,233111 Chemical Engineer,65,35,45716.70966527778
02/2025,233111 Chemical Engineer,75,53,45710.712273495374
02/2025,233111 Chemical Engineer,70,71,45705.80603179398
02/2025,233111 Chemical Engineer,80,72,45712.87350138889
02/2025,233111 Chemical Engineer,95,4,45669.62302716435
02/2025,233111 Chemical Engineer,90,19,45715.19622986111
02/2025,233111 Chemical Engineer,85,57,45705.73745729167
02/2025,233111 Chemical Engineer,55,2,45670.715426932875
02/2025,233111 Chemical Engineer,60,7,45659.848264583336
02/2025,233111 Chemical Engineer,105,1,45310.53319876157
02/2025,233111 Chemical Engineer,45,2,45666.35920825232
02/2025,233914 Engineering Technologist,65,170,45716.556333796296
02/2025,233914 Engineering Technologist,75,218,45714.88943202546
02/2025,233914 Engineering Technologist,70,242,45716.90254664352
02/2025,233914 Engineering Technologist,80,199,45716.72734100695
02/2025,233914 Engineering Technologist,95,17,45711.84892118056
02/2025,233914 Engineering Technologist,90,91,45715.67236917824
02/2025,233914 Engineering Technologist,85,216,45716.61599826389
02/2025,233914 Engineering Technologist,55,17,45715.572015625
02/2025,233914 Engineering Technologist,60,42,45707.712734837965
02/2025,233914 Engineering Technologist,50,7,45707.83265034722
02/2025,233914 Engineering Technologist,100,2,45676.87790813657
02/2025,233914 Engineering Technologist,105,1,45649.598266319445
02/2025,233914 Engineering Technologist,45,2,45699.99177650463
02/2025,312312 Electrical Engineering Technician,65,17,45694.18050644676
02/2025,312312 Electrical Engineering Technician,75,17,45705.02234244213
02/2025,312312 Electrical Engineering Technician,70,19,45706.39163888889
02/2025,312312 Electrical Engineering Technician,80,6,45555.902133993055
02/2025,312312 Electrical Engineering Technician,90,5,45494.45075181713
02/2025,312312 Electrical Engineering Technician,85,14,45610.95573773148
02/2025,312312 Electrical Engineering Technician,55,2,45630.91429502315
02/2025,312312 Electrical Engineering Technician,60,3,45686.36999644676
02/2025,233913 Biomedical Engineer,65,16,45715.45218255787
02/2025,233913 Biomedical Engineer,75,21,45684.98615509259
02/2025,233913 Biomedical Engineer,70,25,45713.07159355324
02/2025,233913 Biomedical Engineer,80,22,45716.71751724537
02/2025,233913 Biomedical Engineer,95,1,45606.52658113426
02/2025,233913 Biomedical Engineer,90,11,45687.162829629626
02/2025,233913 Biomedical Engineer,85,20,45705.69621809028
02/2025,233913 Biomedical Engineer,55,2,45536.68515528935
02/2025,233913 Biomedical Engineer,60,1,45575.653804710644
02/2025,233913 Biomedical Engineer,50,2,45610.45206924769
02/2025,221214 Internal Auditor,65,29,45715.79749290509
02/2025,221214 Internal Auditor,75,16,45689.61409783565
02/2025,221214 Internal Auditor,70,26,45713.16514444444
02/2025,221214 Internal Auditor,80,17,45697.033263854166
02/2025,221214 Internal Auditor,95,3,45617.90243545139
02/2025,221214 Internal Auditor,90,11,45700.71362476852
02/2025,221214 Internal Auditor,85,23,45715.968558761575
02/2025,221214 Internal Auditor,55,1,45621.35180813658
02/2025,221214 Internal Auditor,60,4,45663.02846508102
02/2025,221214 Internal Auditor,100,1,45603.60894780092
02/2025,221214 Internal Auditor,45,1,45574.86311643518
02/2025,323211 Fitter (General),65,15,45700.48806762732
02/2025,323211 Fitter (General),75,7,45698.97307739583
02/2025,323211 Fitter (General),70,5,45700.027546261575
02/2025,323211 Fitter (General),80,1,45069.010797766205
02/2025,323211 Fitter (General),85,2,45698.62254383102
02/2025,323211 Fitter (General),55,2,45712.35432337963
02/2025,323211 Fitter (General),60,2,45629.50201805556
02/2025,323211 Fitter (General),50,1,45312.240789930554
02/2025,261399 Software and Applications Programmers nec,65,72,45715.807217974536
02/2025,261399 Software and Applications Programmers nec,75,112,45716.99688630787
02/2025,261399 Software and Applications Programmers nec,70,94,45716.91841038194
02/2025,261399 Software and Applications Programmers nec,80,93,45714.83438734954
02/2025,261399 Software and Applications Programmers nec,95,46,45709.85053730324
02/2025,261399 Software and Applications Programmers nec,90,163,45716.76149846065
02/2025,261399 Software and Applications Programmers nec,85,144,45716.91997210648
02/2025,261399 Software and Applications Programmers nec,55,3,45698.77878896991
02/2025,261399 Software and Applications Programmers nec,60,11,45716.07172800926
02/2025,261399 Software and Applications Programmers nec,50,1,45673.16459528935
02/2025,261399 Software and Applications Programmers nec,100,1,45633.50472222222
02/2025,233513 Production or Plant Engineer,65,26,45706.97583846065
02/2025,233513 Production or Plant Engineer,75,44,45706.483657986115
02/2025,233513 Production or Plant Engineer,70,26,45699.99713040509
02/2025,233513 Production or Plant Engineer,80,29,45704.45186605324
02/2025,233513 Production or Plant Engineer,95,1,45321.52352766204
02/2025,233513 Production or Plant Engineer,90,16,45654.97977457176
02/2025,233513 Production or Plant Engineer,85,28,45699.816323032406
02/2025,233513 Production or Plant Engineer,55,2,45679.23897677084
02/2025,233513 Production or Plant Engineer,60,5,45623.01226689815
02/2025,233513 Production or Plant Engineer,40,1,45560.7808008912
02/2025,233311 Electrical Engineer,65,160,45715.65775582176
02/2025,233311 Electrical Engineer,75,178,45716.1653184375
02/2025,233311 Electrical Engineer,70,170,45715.662549189816
02/2025,233311 Electrical Engineer,80,161,45716.6037128125
02/2025,233311 Electrical Engineer,95,9,45679.68657928241
02/2025,233311 Electrical Engineer,90,49,45714.512630324076
02/2025,233311 Electrical Engineer,85,126,45714.50566427084
02/2025,233311 Electrical Engineer,55,23,45713.13257353009
02/2025,233311 Electrical Engineer,60,30,45710.43177623842
02/2025,233311 Electrical Engineer,50,7,45628.88539730324
02/2025,233311 Electrical Engineer,110,1,45639.011145717595
02/2025,233311 Electrical Engineer,100,1,45027.671183530096
02/2025,233311 Electrical Engineer,45,2,45712.57479818287
02/2025,232111 Architect,65,48,45707.89495112268
02/2025,232111 Architect,75,81,45712.75237002315
02/2025,232111 Architect,70,81,45715.827713113424
02/2025,232111 Architect,80,37,45700.65394837963
02/2025,232111 Architect,90,3,45677.218425231484
02/2025,232111 Architect,85,17,45694.42886165509
02/2025,232111 Architect,55,1,45707.80296674769
02/2025,232111 Architect,60,6,45678.50348024306
02/2025,234212 Food Technologist,65,28,45716.401539583334
02/2025,234212 Food Technologist,75,26,45707.47823101852
02/2025,234212 Food Technologist,70,32,45715.62127184028
02/2025,234212 Food Technologist,80,21,45699.019470914354
02/2025,234212 Food Technologist,95,2,45637.612346215275
02/2025,234212 Food Technologist,90,8,45693.73489112269
02/2025,234212 Food Technologist,85,25,45688.50175362269
02/2025,234212 Food Technologist,55,3,45614.73167847222
02/2025,234212 Food Technologist,60,3,45391.93388457176
02/2025,234212 Food Technologist,50,1,45698.054444444446
02/2025,221112 Management Accountant,65,52,45716.662171909724
02/2025,221112 Management Accountant,75,68,45715.52056832176
02/2025,221112 Management Accountant,70,91,45716.56863695602
02/2025,221112 Management Accountant,80,76,45716.83088263889
02/2025,221112 Management Accountant,95,18,45602.61678480324
02/2025,221112 Management Accountant,90,37,45707.00003630787
02/2025,221112 Management Accountant,85,75,45713.75349537037
02/2025,221112 Management Accountant,55,1,45127.63339938657
02/2025,221112 Management Accountant,60,9,45711.03917364583
02/2025,221112 Management Accountant,100,2,45321.3700565162
02/2025,221112 Management Accountant,45,1,45621.51745625
02/2025,312311 Electrical Engineering Draftsperson,65,4,45716.504167245366
02/2025,312311 Electrical Engineering Draftsperson,75,5,45705.16940940972
02/2025,312311 Electrical Engineering Draftsperson,70,6,45709.80392723379
02/2025,312311 Electrical Engineering Draftsperson,80,3,45559.725057986114
02/2025,312311 Electrical Engineering Draftsperson,90,1,45673.794637962965
02/2025,312311 Electrical Engineering Draftsperson,85,2,45621.47951979167
02/2025,312311 Electrical Engineering Draftsperson,50,2,45559.67003429398
02/2025,224711 Management Consultant,65,11,45706.130745752314
02/2025,224711 Management Consultant,75,39,45716.515638310186
02/2025,224711 Management Consultant,70,9,45671.99507646991
02/2025,224711 Management Consultant,80,33,45714.86547040509
02/2025,224711 Management Consultant,95,3,45670.55897175926
02/2025,224711 Management Consultant,90,18,45714.597961770836
02/2025,224711 Management Consultant,85,40,45714.51507418981
02/2025,224711 Management Consultant,55,1,45668.71335335648
02/2025,224711 Management Consultant,60,2,45676.63454267361
02/2025,234711 Veterinarian,65,7,45711.677091516205
02/2025,234711 Veterinarian,75,12,45706.85031886574
02/2025,234711 Veterinarian,70,6,45698.368974108795
02/2025,234711 Veterinarian,80,11,45696.063526655096
02/2025,234711 Veterinarian,90,10,45708.605041469906
02/2025,234711 Veterinarian,85,11,45685.203983217594
02/2025,241411 Secondary School Teacher,65,56,45714.74283657408
02/2025,241411 Secondary School Teacher,75,75,45713.78982361111
02/2025,241411 Secondary School Teacher,70,84,45713.542353240744
02/2025,241411 Secondary School Teacher,80,34,45712.705871909726
02/2025,241411 Secondary School Teacher,90,3,45685.38145439815
02/2025,241411 Secondary School Teacher,85,12,45712.860876817125
02/2025,241411 Secondary School Teacher,55,1,45601.64418506945
02/2025,241411 Secondary School Teacher,60,8,45707.55132890046
02/2025,241411 Secondary School Teacher,50,1,45607.74236038195
02/2025,134111 Child Care Centre Manager,65,2,45547.635732372684
02/2025,134111 Child Care Centre Manager,75,2,45611.68506704861
02/2025,134111 Child Care Centre Manager,70,3,45702.71310115741
02/2025,134111 Child Care Centre Manager,80,1,45546.53739297454
02/2025,224111 Actuary,65,2,45624.590818171295
02/2025,224111 Actuary,75,5,45709.02326724537
02/2025,224111 Actuary,70,10,45625.93993630787
02/2025,224111 Actuary,80,15,45674.36445011574
02/2025,224111 Actuary,95,4,45643.68426396991
02/2025,224111 Actuary,90,19,45687.10040112268
02/2025,224111 Actuary,85,16,45698.50061674768
02/2025,224111 Actuary,60,1,45638.5332959838
02/2025,224111 Actuary,100,1,45318.93404953704
02/2025,333111 Glazier,65,2,45643.76932688657
02/2025,242111 University Lecturer,65,87,45713.54182407408
02/2025,242111 University Lecturer,75,82,45712.69402769676
02/2025,242111 University Lecturer,70,85,45715.97146565972
02/2025,242111 University Lecturer,80,93,45700.07544748842
02/2025,242111 University Lecturer,95,16,45715.97324545139
02/2025,242111 University Lecturer,90,40,45710.73779525463
02/2025,242111 University Lecturer,85,53,45716.65929811342
02/2025,242111 University Lecturer,55,14,45703.75928067129
02/2025,242111 University Lecturer,60,26,45675.69040494213
02/2025,242111 University Lecturer,100,6,45711.77473834491
02/2025,242111 University Lecturer,105,1,45702.198833333336
02/2025,263312 Telecommunications Network Engineer,65,18,45708.07935671296
02/2025,263312 Telecommunications Network Engineer,75,20,45693.55065829861
02/2025,263312 Telecommunications Network Engineer,70,16,45706.74395084491
02/2025,263312 Telecommunications Network Engineer,80,10,45636.92301211806
02/2025,263312 Telecommunications Network Engineer,90,4,45648.94284221065
02/2025,263312 Telecommunications Network Engineer,85,8,45705.27059525463
02/2025,263312 Telecommunications Network Engineer,60,2,45402.82929594907
02/2025,133211 Engineering Manager,65,31,45702.741889780096
02/2025,133211 Engineering Manager,75,24,45715.0025596875
02/2025,133211 Engineering Manager,70,22,45715.96880003472
