AsAt,Occupation,Score,only
04/2025,342315 Electronic Instrument Trades Worker (Special Class),65,3
04/2025,342315 Electronic Instrument Trades Worker (Special Class),75,2
04/2025,342315 Electronic Instrument Trades Worker (Special Class),70,5
04/2025,312212 Civil Engineering Technician,65,108
04/2025,312212 Civil Engineering Technician,75,98
04/2025,312212 Civil Engineering Technician,70,101
04/2025,312212 Civil Engineering Technician,80,36
04/2025,312212 Civil Engineering Technician,90,2
04/2025,312212 Civil Engineering Technician,85,30
04/2025,312212 Civil Engineering Technician,55,8
04/2025,312212 Civil Engineering Technician,60,23
04/2025,312212 Civil Engineering Technician,50,2
04/2025,253912 Emergency Medicine Specialist,65,2
04/2025,253912 Emergency Medicine Specialist,75,7
04/2025,253912 Emergency Medicine Specialist,70,3
04/2025,253912 Emergency Medicine Specialist,80,3
04/2025,253912 Emergency Medicine Specialist,95,2
04/2025,253912 Emergency Medicine Specialist,90,1
04/2025,253912 Emergency Medicine Specialist,85,3
04/2025,253912 Emergency Medicine Specialist,60,1
04/2025,234312 Environmental Consultant,65,12
04/2025,234312 Environmental Consultant,75,19
04/2025,234312 Environmental Consultant,70,16
04/2025,234312 Environmental Consultant,80,14
04/2025,234312 Environmental Consultant,95,4
04/2025,234312 Environmental Consultant,90,18
04/2025,234312 Environmental Consultant,85,25
04/2025,234312 Environmental Consultant,60,2
04/2025,234312 Environmental Consultant,50,1
04/2025,234312 Environmental Consultant,110,1
04/2025,234312 Environmental Consultant,100,1
04/2025,234312 Environmental Consultant,45,1
04/2025,234517 Microbiologist,65,18
04/2025,234517 Microbiologist,75,20
04/2025,234517 Microbiologist,70,13
04/2025,234517 Microbiologist,80,9
04/2025,234517 Microbiologist,95,1
04/2025,234517 Microbiologist,90,2
04/2025,234517 Microbiologist,85,7
04/2025,234517 Microbiologist,55,1
04/2025,234517 Microbiologist,60,4
04/2025,234517 Microbiologist,50,1
04/2025,234517 Microbiologist,100,1
04/2025,322211 Sheetmetal Trades Worker,65,1
04/2025,322211 Sheetmetal Trades Worker,70,1
04/2025,232112 Landscape Architect,65,23
04/2025,232112 Landscape Architect,75,16
04/2025,232112 Landscape Architect,70,15
04/2025,232112 Landscape Architect,80,5
04/2025,232112 Landscape Architect,90,2
04/2025,232112 Landscape Architect,85,7
04/2025,232112 Landscape Architect,55,1
04/2025,252712 Speech Pathologist,65,3
04/2025,252712 Speech Pathologist,75,13
04/2025,252712 Speech Pathologist,70,12
04/2025,252712 Speech Pathologist,80,9
04/2025,252712 Speech Pathologist,90,2
04/2025,252712 Speech Pathologist,85,9
04/2025,322311 Metal Fabricator,65,12
04/2025,322311 Metal Fabricator,75,6
04/2025,322311 Metal Fabricator,70,10
04/2025,322311 Metal Fabricator,85,1
04/2025,322311 Metal Fabricator,60,2
04/2025,322311 Metal Fabricator,50,2
04/2025,234999 Natural and Physical Science Professionals nec,65,1
04/2025,234999 Natural and Physical Science Professionals nec,70,1
04/2025,234999 Natural and Physical Science Professionals nec,90,1
04/2025,234999 Natural and Physical Science Professionals nec,85,3
04/2025,234914 Physicist,65,2
04/2025,234914 Physicist,75,9
04/2025,234914 Physicist,70,2
04/2025,234914 Physicist,80,4
04/2025,234914 Physicist,95,2
04/2025,234914 Physicist,85,4
04/2025,234914 Physicist,60,1
04/2025,234914 Physicist,100,4
04/2025,234914 Physicist,115,1
04/2025,233112 Materials Engineer,65,13
04/2025,233112 Materials Engineer,75,10
04/2025,233112 Materials Engineer,70,15
04/2025,233112 Materials Engineer,80,28
04/2025,233112 Materials Engineer,95,4
04/2025,233112 Materials Engineer,90,14
04/2025,233112 Materials Engineer,85,11
04/2025,233112 Materials Engineer,55,1
04/2025,233112 Materials Engineer,60,2
04/2025,233112 Materials Engineer,50,1
04/2025,233112 Materials Engineer,100,1
04/2025,252411 Occupational Therapist,65,30
04/2025,252411 Occupational Therapist,75,39
04/2025,252411 Occupational Therapist,70,39
04/2025,252411 Occupational Therapist,80,23
04/2025,252411 Occupational Therapist,95,1
04/2025,252411 Occupational Therapist,85,10
04/2025,252411 Occupational Therapist,60,3
04/2025,252411 Occupational Therapist,50,1
04/2025,252411 Occupational Therapist,45,1
04/2025,342111 Airconditioning and Refrigeration Mechanic,65,5
04/2025,342111 Airconditioning and Refrigeration Mechanic,75,2
04/2025,342111 Airconditioning and Refrigeration Mechanic,70,4
04/2025,342111 Airconditioning and Refrigeration Mechanic,80,1
04/2025,342111 Airconditioning and Refrigeration Mechanic,60,1
04/2025,342111 Airconditioning and Refrigeration Mechanic,50,1
04/2025,234513 Biochemist,65,3
04/2025,234513 Biochemist,75,1
04/2025,234513 Biochemist,70,4
04/2025,234513 Biochemist,80,9
04/2025,234513 Biochemist,95,1
04/2025,234513 Biochemist,90,5
04/2025,234513 Biochemist,85,1
04/2025,234513 Biochemist,55,1
04/2025,234513 Biochemist,60,1
04/2025,234611 Medical Laboratory Scientist,65,17
04/2025,234611 Medical Laboratory Scientist,75,29
04/2025,234611 Medical Laboratory Scientist,70,33
04/2025,234611 Medical Laboratory Scientist,80,16
04/2025,234611 Medical Laboratory Scientist,90,4
04/2025,234611 Medical Laboratory Scientist,85,4
04/2025,234611 Medical Laboratory Scientist,55,1
04/2025,234611 Medical Laboratory Scientist,60,2
04/2025,234611 Medical Laboratory Scientist,100,1
04/2025,241511 Special Needs Teacher,75,1
04/2025,241511 Special Needs Teacher,70,3
04/2025,254425 Registered Nurse (Paediatrics),65,12
04/2025,254425 Registered Nurse (Paediatrics),75,5
04/2025,254425 Registered Nurse (Paediatrics),70,13
04/2025,254425 Registered Nurse (Paediatrics),80,3
04/2025,254425 Registered Nurse (Paediatrics),85,4
04/2025,254425 Registered Nurse (Paediatrics),55,1
04/2025,254425 Registered Nurse (Paediatrics),60,1
04/2025,234399 Environmental Scientists nec,75,1
04/2025,234399 Environmental Scientists nec,80,3
04/2025,272399 Psychologists nec,65,2
04/2025,272399 Psychologists nec,75,15
04/2025,272399 Psychologists nec,70,6
04/2025,272399 Psychologists nec,80,14
04/2025,272399 Psychologists nec,95,1
04/2025,272399 Psychologists nec,90,2
04/2025,272399 Psychologists nec,85,6
04/2025,272399 Psychologists nec,60,2
04/2025,323214 Metal Machinist (First Class),65,3
04/2025,323214 Metal Machinist (First Class),75,2
04/2025,323214 Metal Machinist (First Class),70,5
04/2025,323214 Metal Machinist (First Class),55,3
04/2025,323214 Metal Machinist (First Class),45,2
04/2025,331211 Carpenter and Joiner,65,4
04/2025,331211 Carpenter and Joiner,75,2
04/2025,331211 Carpenter and Joiner,70,6
04/2025,331211 Carpenter and Joiner,80,1
04/2025,254111 Midwife,65,3
04/2025,254111 Midwife,75,4
04/2025,254111 Midwife,70,8
04/2025,254111 Midwife,80,10
04/2025,254111 Midwife,85,2
04/2025,254111 Midwife,55,1
04/2025,233916 Naval Architect,65,2
04/2025,233916 Naval Architect,75,1
04/2025,233916 Naval Architect,70,2
04/2025,233916 Naval Architect,90,3
04/2025,233916 Naval Architect,85,1
04/2025,233916 Naval Architect,60,1
04/2025,252112 Osteopath,65,1
04/2025,252112 Osteopath,75,1
04/2025,252112 Osteopath,70,1
04/2025,234911 Conservator,70,2
04/2025,234911 Conservator,85,1
04/2025,342314 Electronic Instrument Trades Worker (General),65,2
04/2025,342314 Electronic Instrument Trades Worker (General),75,2
04/2025,342314 Electronic Instrument Trades Worker (General),70,6
04/2025,342314 Electronic Instrument Trades Worker (General),80,3
04/2025,342314 Electronic Instrument Trades Worker (General),60,1
04/2025,342314 Electronic Instrument Trades Worker (General),45,1
04/2025,334111 Plumber (General),65,10
04/2025,334111 Plumber (General),75,4
04/2025,334111 Plumber (General),70,3
04/2025,334111 Plumber (General),80,2
04/2025,234413 Hydrogeologist,65,4
04/2025,234413 Hydrogeologist,75,1
04/2025,234413 Hydrogeologist,70,1
04/2025,234413 Hydrogeologist,80,1
04/2025,234413 Hydrogeologist,90,1
04/2025,234413 Hydrogeologist,60,2
04/2025,254421 Registered Nurse (Medical Practice),65,5
04/2025,254421 Registered Nurse (Medical Practice),75,2
04/2025,254421 Registered Nurse (Medical Practice),70,6
04/2025,254421 Registered Nurse (Medical Practice),80,2
04/2025,254424 Registered Nurse (Surgical),65,39
04/2025,254424 Registered Nurse (Surgical),75,27
04/2025,254424 Registered Nurse (Surgical),70,34
04/2025,254424 Registered Nurse (Surgical),80,10
04/2025,254424 Registered Nurse (Surgical),95,1
04/2025,254424 Registered Nurse (Surgical),90,1
04/2025,254424 Registered Nurse (Surgical),85,4
04/2025,254424 Registered Nurse (Surgical),55,2
04/2025,254424 Registered Nurse (Surgical),60,5
04/2025,254424 Registered Nurse (Surgical),40,1
04/2025,324111 Panelbeater,65,1
04/2025,324111 Panelbeater,90,1
04/2025,224511 Land Economist,65,1
04/2025,224511 Land Economist,75,2
04/2025,224511 Land Economist,70,2
04/2025,224511 Land Economist,80,2
04/2025,224511 Land Economist,90,1
04/2025,224511 Land Economist,85,4
04/2025,452316 Tennis Coach,65,2
04/2025,452316 Tennis Coach,70,1
04/2025,452316 Tennis Coach,90,1
04/2025,452316 Tennis Coach,85,1
04/2025,452316 Tennis Coach,60,1
04/2025,399111 Boat Builder and Repairer,65,2
04/2025,399111 Boat Builder and Repairer,75,3
04/2025,399111 Boat Builder and Repairer,80,2
04/2025,399111 Boat Builder and Repairer,90,1
04/2025,253312 Cardiologist,90,1
04/2025,333212 Solid Plasterer,65,2
04/2025,333212 Solid Plasterer,75,2
04/2025,333212 Solid Plasterer,70,2
04/2025,333212 Solid Plasterer,60,3
04/2025,333411 Wall and Floor Tiler,65,29
04/2025,333411 Wall and Floor Tiler,75,2
04/2025,333411 Wall and Floor Tiler,70,9
04/2025,333411 Wall and Floor Tiler,80,1
04/2025,333411 Wall and Floor Tiler,85,1
04/2025,333411 Wall and Floor Tiler,60,1
04/2025,313211 Radiocommunications Technician,70,1
04/2025,254414 Registered Nurse (Community Health),65,5
04/2025,254414 Registered Nurse (Community Health),75,3
04/2025,254414 Registered Nurse (Community Health),70,5
04/2025,254414 Registered Nurse (Community Health),80,3
04/2025,254414 Registered Nurse (Community Health),55,2
04/2025,254414 Registered Nurse (Community Health),100,1
04/2025,254413 Registered Nurse (Child and Family Health),65,2
04/2025,254413 Registered Nurse (Child and Family Health),75,2
04/2025,254413 Registered Nurse (Child and Family Health),70,1
04/2025,254413 Registered Nurse (Child and Family Health),80,2
04/2025,252711 Audiologist,65,16
04/2025,252711 Audiologist,75,11
04/2025,252711 Audiologist,70,17
04/2025,252711 Audiologist,80,4
04/2025,252711 Audiologist,85,1
04/2025,252711 Audiologist,55,1
04/2025,252711 Audiologist,60,3
04/2025,313214 Telecommunications Technical Officer or Technologist,65,11
04/2025,313214 Telecommunications Technical Officer or Technologist,75,18
04/2025,313214 Telecommunications Technical Officer or Technologist,70,6
04/2025,313214 Telecommunications Technical Officer or Technologist,80,8
04/2025,313214 Telecommunications Technical Officer or Technologist,95,1
04/2025,313214 Telecommunications Technical Officer or Technologist,55,1
04/2025,313214 Telecommunications Technical Officer or Technologist,60,3
04/2025,134213 Primary Health Organisation Manager,65,5
04/2025,134213 Primary Health Organisation Manager,75,3
04/2025,134213 Primary Health Organisation Manager,70,4
04/2025,134213 Primary Health Organisation Manager,80,2
04/2025,134213 Primary Health Organisation Manager,85,2
04/2025,134213 Primary Health Organisation Manager,60,2
04/2025,253321 Paediatrician,85,1
04/2025,253317 Intensive Care Specialist,65,1
04/2025,253317 Intensive Care Specialist,80,1
04/2025,253317 Intensive Care Specialist,90,1
04/2025,253317 Intensive Care Specialist,85,1
04/2025,253917 Diagnostic and Interventional Radiologist,65,1
04/2025,253917 Diagnostic and Interventional Radiologist,85,2
04/2025,331213 Joiner,65,2
04/2025,331213 Joiner,75,1
04/2025,331213 Joiner,70,1
04/2025,331213 Joiner,55,1
04/2025,341112 Electrician (Special Class),55,1
04/2025,272313 Organisational Psychologist,70,1
04/2025,272313 Organisational Psychologist,85,1
04/2025,212111 Artistic Director,80,1
04/2025,211213 Musician (Instrumental),65,1
04/2025,211213 Musician (Instrumental),70,1
04/2025,211213 Musician (Instrumental),60,1
04/2025,234518 Zoologist,65,1
04/2025,234518 Zoologist,75,1
04/2025,234518 Zoologist,80,1
04/2025,234518 Zoologist,90,2
04/2025,234518 Zoologist,85,3
04/2025,321111 Automotive Electrician,65,7
04/2025,321111 Automotive Electrician,75,4
04/2025,321111 Automotive Electrician,70,3
04/2025,321111 Automotive Electrician,60,1
04/2025,253411 Psychiatrist,75,3
04/2025,253411 Psychiatrist,70,2
04/2025,253411 Psychiatrist,85,2
04/2025,323213 Fitter-Welder,65,1
04/2025,251411 Optometrist,70,2
04/2025,251411 Optometrist,80,2
04/2025,251411 Optometrist,60,1
04/2025,251214 Sonographer,65,1
04/2025,251214 Sonographer,75,1
04/2025,251214 Sonographer,70,2
04/2025,251214 Sonographer,80,4
04/2025,251214 Sonographer,95,1
04/2025,251214 Sonographer,90,1
04/2025,251214 Sonographer,85,1
04/2025,334112 Airconditioning and Mechanical Services Plumber,65,7
04/2025,334112 Airconditioning and Mechanical Services Plumber,75,1
04/2025,334112 Airconditioning and Mechanical Services Plumber,70,2
04/2025,334112 Airconditioning and Mechanical Services Plumber,90,1
04/2025,334112 Airconditioning and Mechanical Services Plumber,85,1
04/2025,334112 Airconditioning and Mechanical Services Plumber,60,1
04/2025,253318 Neurologist,70,1
04/2025,253318 Neurologist,80,2
04/2025,334115 Roof Plumber,65,2
04/2025,334115 Roof Plumber,85,1
04/2025,272311 Clinical Psychologist,65,1
04/2025,272311 Clinical Psychologist,75,1
04/2025,272311 Clinical Psychologist,70,2
04/2025,272311 Clinical Psychologist,95,1
04/2025,272311 Clinical Psychologist,85,2
04/2025,254411 Nurse Practitioner,65,2
04/2025,254411 Nurse Practitioner,75,1
04/2025,254411 Nurse Practitioner,70,1
04/2025,254411 Nurse Practitioner,85,1
04/2025,254411 Nurse Practitioner,100,1
04/2025,342212 Technical Cable Jointer,65,1
04/2025,251212 Medical Radiation Therapist,70,3
04/2025,341113 Lift Mechanic,65,1
04/2025,341113 Lift Mechanic,70,2
04/2025,252611 Podiatrist,65,2
04/2025,252611 Podiatrist,75,4
04/2025,252611 Podiatrist,70,2
04/2025,252611 Podiatrist,90,2
04/2025,241599 Special Education Teachers nec,65,1
04/2025,241599 Special Education Teachers nec,75,1
04/2025,253311 Specialist Physician (General Medicine),65,2
04/2025,253311 Specialist Physician (General Medicine),80,2
04/2025,253311 Specialist Physician (General Medicine),90,1
04/2025,253311 Specialist Physician (General Medicine),60,1
04/2025,211112 Dancer or Choreographer,75,2
04/2025,361112 Horse Trainer,65,1
04/2025,361112 Horse Trainer,70,1
04/2025,272312 Educational Psychologist,70,1
04/2025,253913 Obstetrician and Gynaecologist,75,1
04/2025,253913 Obstetrician and Gynaecologist,70,2
04/2025,241512 Teacher of the Hearing Impaired,70,1
04/2025,253324 Thoracic Medicine Specialist,75,1
04/2025,253324 Thoracic Medicine Specialist,70,1
04/2025,253324 Thoracic Medicine Specialist,80,1
04/2025,333211 Fibrous Plasterer,65,1
04/2025,333211 Fibrous Plasterer,60,1
04/2025,334114 Gasfitter,65,1
04/2025,334114 Gasfitter,75,1
04/2025,334114 Gasfitter,70,1
04/2025,253514 Orthopaedic Surgeon,65,1
04/2025,253514 Orthopaedic Surgeon,80,1
04/2025,254416 Registered Nurse (Developmental Disability),75,1
04/2025,254416 Registered Nurse (Developmental Disability),70,2
04/2025,254416 Registered Nurse (Developmental Disability),80,1
04/2025,253316 Gastroenterologist,50,1
04/2025,321213 Motorcycle Mechanic,65,1
04/2025,331112 Stonemason,70,1
04/2025,253915 Pathologist,65,1
03/2025,261312 Developer Programmer,65,200
03/2025,261312 Developer Programmer,75,270
03/2025,261312 Developer Programmer,70,242
03/2025,261312 Developer Programmer,80,251
03/2025,261312 Developer Programmer,95,123
03/2025,261312 Developer Programmer,90,272
03/2025,261312 Developer Programmer,85,266
03/2025,261312 Developer Programmer,55,16
03/2025,261312 Developer Programmer,60,26
03/2025,261312 Developer Programmer,50,4
03/2025,261312 Developer Programmer,110,1
03/2025,261312 Developer Programmer,100,29
03/2025,261312 Developer Programmer,105,1
03/2025,261312 Developer Programmer,45,1
03/2025,321211 Motor Mechanic (General),65,165
03/2025,321211 Motor Mechanic (General),75,109
03/2025,321211 Motor Mechanic (General),70,122
03/2025,321211 Motor Mechanic (General),80,59
03/2025,321211 Motor Mechanic (General),95,1
03/2025,321211 Motor Mechanic (General),90,15
03/2025,321211 Motor Mechanic (General),85,22
03/2025,321211 Motor Mechanic (General),55,10
03/2025,321211 Motor Mechanic (General),60,24
03/2025,321211 Motor Mechanic (General),50,1
03/2025,233211 Civil Engineer,65,358
03/2025,233211 Civil Engineer,75,444
03/2025,233211 Civil Engineer,70,436
03/2025,233211 Civil Engineer,80,401
03/2025,233211 Civil Engineer,95,21
03/2025,233211 Civil Engineer,90,148
03/2025,233211 Civil Engineer,85,311
03/2025,233211 Civil Engineer,55,30
03/2025,233211 Civil Engineer,60,63
03/2025,233211 Civil Engineer,50,15
03/2025,233211 Civil Engineer,100,4
03/2025,233211 Civil Engineer,45,5
03/2025,241111 Early Childhood (Pre-primary School) Teacher,65,375
03/2025,241111 Early Childhood (Pre-primary School) Teacher,75,441
03/2025,241111 Early Childhood (Pre-primary School) Teacher,70,533
03/2025,241111 Early Childhood (Pre-primary School) Teacher,80,300
03/2025,241111 Early Childhood (Pre-primary School) Teacher,95,2
03/2025,241111 Early Childhood (Pre-primary School) Teacher,90,13
03/2025,241111 Early Childhood (Pre-primary School) Teacher,85,131
03/2025,241111 Early Childhood (Pre-primary School) Teacher,55,5
03/2025,241111 Early Childhood (Pre-primary School) Teacher,60,38
03/2025,241111 Early Childhood (Pre-primary School) Teacher,50,6
03/2025,261111 ICT Business Analyst,65,229
03/2025,261111 ICT Business Analyst,75,411
03/2025,261111 ICT Business Analyst,70,301
03/2025,261111 ICT Business Analyst,80,372
03/2025,261111 ICT Business Analyst,95,178
03/2025,261111 ICT Business Analyst,90,439
03/2025,261111 ICT Business Analyst,85,363
03/2025,261111 ICT Business Analyst,55,16
03/2025,261111 ICT Business Analyst,60,44
03/2025,261111 ICT Business Analyst,50,3
03/2025,261111 ICT Business Analyst,100,33
03/2025,261313 Software Engineer,65,326
03/2025,261313 Software Engineer,75,450
03/2025,261313 Software Engineer,70,388
03/2025,261313 Software Engineer,80,367
03/2025,261313 Software Engineer,95,182
03/2025,261313 Software Engineer,90,401
03/2025,261313 Software Engineer,85,392
03/2025,261313 Software Engineer,55,25
03/2025,261313 Software Engineer,60,68
03/2025,261313 Software Engineer,50,4
03/2025,261313 Software Engineer,100,32
03/2025,261313 Software Engineer,105,2
03/2025,261313 Software Engineer,45,3
03/2025,261313 Software Engineer,35,1
03/2025,221111 Accountant (General),65,258
03/2025,221111 Accountant (General),75,381
03/2025,221111 Accountant (General),70,386
03/2025,221111 Accountant (General),80,320
03/2025,221111 Accountant (General),95,101
03/2025,221111 Accountant (General),90,226
03/2025,221111 Accountant (General),85,295
03/2025,221111 Accountant (General),55,10
03/2025,221111 Accountant (General),60,36
03/2025,221111 Accountant (General),50,1
03/2025,221111 Accountant (General),100,19
03/2025,221111 Accountant (General),45,2
03/2025,221111 Accountant (General),35,1
03/2025,262112 ICT Security Specialist,65,102
03/2025,262112 ICT Security Specialist,75,170
03/2025,262112 ICT Security Specialist,70,116
03/2025,262112 ICT Security Specialist,80,134
03/2025,262112 ICT Security Specialist,95,59
03/2025,262112 ICT Security Specialist,90,149
03/2025,262112 ICT Security Specialist,85,164
03/2025,262112 ICT Security Specialist,55,5
03/2025,262112 ICT Security Specialist,60,16
03/2025,262112 ICT Security Specialist,50,1
03/2025,262112 ICT Security Specialist,100,5
03/2025,262112 ICT Security Specialist,45,1
03/2025,221213 External Auditor,65,125
03/2025,221213 External Auditor,75,219
03/2025,221213 External Auditor,70,244
03/2025,221213 External Auditor,80,222
03/2025,221213 External Auditor,95,15
03/2025,221213 External Auditor,90,135
03/2025,221213 External Auditor,85,246
03/2025,221213 External Auditor,55,1
03/2025,221213 External Auditor,60,33
03/2025,221213 External Auditor,50,1
03/2025,221213 External Auditor,100,1
03/2025,234515 Botanist,65,1
03/2025,234515 Botanist,75,2
03/2025,233512 Mechanical Engineer,65,315
03/2025,233512 Mechanical Engineer,75,358
03/2025,233512 Mechanical Engineer,70,323
03/2025,233512 Mechanical Engineer,80,304
03/2025,233512 Mechanical Engineer,95,22
03/2025,233512 Mechanical Engineer,90,158
03/2025,233512 Mechanical Engineer,85,308
03/2025,233512 Mechanical Engineer,55,27
03/2025,233512 Mechanical Engineer,60,51
03/2025,233512 Mechanical Engineer,50,15
03/2025,233512 Mechanical Engineer,100,4
03/2025,233512 Mechanical Engineer,40,1
03/2025,233512 Mechanical Engineer,45,3
03/2025,233999 Engineering Professionals nec,65,45
03/2025,233999 Engineering Professionals nec,75,54
03/2025,233999 Engineering Professionals nec,70,50
03/2025,233999 Engineering Professionals nec,80,71
03/2025,233999 Engineering Professionals nec,95,6
03/2025,233999 Engineering Professionals nec,90,21
03/2025,233999 Engineering Professionals nec,85,66
03/2025,233999 Engineering Professionals nec,55,6
03/2025,233999 Engineering Professionals nec,60,7
03/2025,233999 Engineering Professionals nec,50,3
03/2025,233999 Engineering Professionals nec,100,2
03/2025,234111 Agricultural Consultant,65,40
03/2025,234111 Agricultural Consultant,75,28
03/2025,234111 Agricultural Consultant,70,35
03/2025,234111 Agricultural Consultant,80,19
03/2025,234111 Agricultural Consultant,95,3
03/2025,234111 Agricultural Consultant,90,10
03/2025,234111 Agricultural Consultant,85,12
03/2025,234111 Agricultural Consultant,55,6
03/2025,234111 Agricultural Consultant,60,7
03/2025,234111 Agricultural Consultant,50,1
03/2025,234111 Agricultural Consultant,100,1
03/2025,254418 Registered Nurse (Medical),65,89
03/2025,254418 Registered Nurse (Medical),75,48
03/2025,254418 Registered Nurse (Medical),70,77
03/2025,254418 Registered Nurse (Medical),80,23
03/2025,254418 Registered Nurse (Medical),90,2
03/2025,254418 Registered Nurse (Medical),85,3
03/2025,254418 Registered Nurse (Medical),55,3
03/2025,254418 Registered Nurse (Medical),60,18
03/2025,254418 Registered Nurse (Medical),50,1
03/2025,351311 Chef,65,552
03/2025,351311 Chef,75,339
03/2025,351311 Chef,70,455
03/2025,351311 Chef,80,205
03/2025,351311 Chef,95,3
03/2025,351311 Chef,90,48
03/2025,351311 Chef,85,98
03/2025,351311 Chef,55,29
03/2025,351311 Chef,60,79
03/2025,351311 Chef,50,12
03/2025,351311 Chef,100,1
03/2025,351311 Chef,105,2
03/2025,351311 Chef,45,3
03/2025,233411 Electronics Engineer,65,108
03/2025,233411 Electronics Engineer,75,136
03/2025,233411 Electronics Engineer,70,110
03/2025,233411 Electronics Engineer,80,123
03/2025,233411 Electronics Engineer,95,9
03/2025,233411 Electronics Engineer,90,54
03/2025,233411 Electronics Engineer,85,94
03/2025,233411 Electronics Engineer,55,19
03/2025,233411 Electronics Engineer,60,22
03/2025,233411 Electronics Engineer,50,3
03/2025,233411 Electronics Engineer,100,5
03/2025,261112 Systems Analyst,65,123
03/2025,261112 Systems Analyst,75,234
03/2025,261112 Systems Analyst,70,155
03/2025,261112 Systems Analyst,80,248
03/2025,261112 Systems Analyst,95,102
03/2025,261112 Systems Analyst,90,254
03/2025,261112 Systems Analyst,85,214
03/2025,261112 Systems Analyst,55,7
03/2025,261112 Systems Analyst,60,23
03/2025,261112 Systems Analyst,50,1
03/2025,261112 Systems Analyst,100,12
03/2025,233912 Agricultural Engineer,65,7
03/2025,233912 Agricultural Engineer,75,4
03/2025,233912 Agricultural Engineer,70,4
03/2025,233912 Agricultural Engineer,80,5
03/2025,233912 Agricultural Engineer,95,1
03/2025,233912 Agricultural Engineer,90,1
03/2025,233912 Agricultural Engineer,85,3
03/2025,263111 Computer Network and Systems Engineer,65,147
03/2025,263111 Computer Network and Systems Engineer,75,268
03/2025,263111 Computer Network and Systems Engineer,70,162
03/2025,263111 Computer Network and Systems Engineer,80,198
03/2025,263111 Computer Network and Systems Engineer,95,89
03/2025,263111 Computer Network and Systems Engineer,90,178
03/2025,263111 Computer Network and Systems Engineer,85,185
03/2025,263111 Computer Network and Systems Engineer,55,8
03/2025,263111 Computer Network and Systems Engineer,60,26
03/2025,263111 Computer Network and Systems Engineer,50,4
03/2025,263111 Computer Network and Systems Engineer,100,19
03/2025,263111 Computer Network and Systems Engineer,40,1
03/2025,263111 Computer Network and Systems Engineer,45,1
03/2025,234211 Chemist,65,32
03/2025,234211 Chemist,75,26
03/2025,234211 Chemist,70,22
03/2025,234211 Chemist,80,19
03/2025,234211 Chemist,95,2
03/2025,234211 Chemist,90,9
03/2025,234211 Chemist,85,23
03/2025,234211 Chemist,55,1
03/2025,234211 Chemist,60,4
03/2025,234211 Chemist,50,2
03/2025,234211 Chemist,100,2
03/2025,234211 Chemist,105,1
03/2025,271311 Solicitor,65,21
03/2025,271311 Solicitor,75,53
03/2025,271311 Solicitor,70,28
03/2025,271311 Solicitor,80,51
03/2025,271311 Solicitor,95,6
03/2025,271311 Solicitor,90,50
03/2025,271311 Solicitor,85,75
03/2025,271311 Solicitor,55,1
03/2025,271311 Solicitor,60,9
03/2025,271311 Solicitor,50,1
03/2025,271311 Solicitor,100,1
03/2025,233111 Chemical Engineer,65,39
03/2025,233111 Chemical Engineer,75,58
03/2025,233111 Chemical Engineer,70,76
03/2025,233111 Chemical Engineer,80,80
03/2025,233111 Chemical Engineer,95,4
03/2025,233111 Chemical Engineer,90,23
03/2025,233111 Chemical Engineer,85,74
03/2025,233111 Chemical Engineer,55,3
03/2025,233111 Chemical Engineer,60,10
03/2025,233111 Chemical Engineer,105,1
03/2025,233111 Chemical Engineer,45,2
03/2025,233914 Engineering Technologist,65,191
03/2025,233914 Engineering Technologist,75,243
03/2025,233914 Engineering Technologist,70,275
03/2025,233914 Engineering Technologist,80,221
03/2025,233914 Engineering Technologist,95,17
03/2025,233914 Engineering Technologist,90,93
03/2025,233914 Engineering Technologist,85,254
03/2025,233914 Engineering Technologist,55,18
03/2025,233914 Engineering Technologist,60,48
03/2025,233914 Engineering Technologist,50,8
03/2025,233914 Engineering Technologist,100,2
03/2025,233914 Engineering Technologist,105,1
03/2025,233914 Engineering Technologist,45,1
03/2025,312312 Electrical Engineering Technician,65,20
03/2025,312312 Electrical Engineering Technician,75,19
03/2025,312312 Electrical Engineering Technician,70,19
03/2025,312312 Electrical Engineering Technician,80,7
03/2025,312312 Electrical Engineering Technician,90,5
03/2025,312312 Electrical Engineering Technician,85,16
03/2025,312312 Electrical Engineering Technician,55,2
03/2025,312312 Electrical Engineering Technician,60,4
03/2025,233913 Biomedical Engineer,65,18
03/2025,233913 Biomedical Engineer,75,23
03/2025,233913 Biomedical Engineer,70,28
03/2025,233913 Biomedical Engineer,80,28
03/2025,233913 Biomedical Engineer,95,1
03/2025,233913 Biomedical Engineer,90,15
03/2025,233913 Biomedical Engineer,85,18
03/2025,233913 Biomedical Engineer,55,3
03/2025,233913 Biomedical Engineer,60,1
03/2025,233913 Biomedical Engineer,50,2
03/2025,233913 Biomedical Engineer,100,2
03/2025,221214 Internal Auditor,65,27
03/2025,221214 Internal Auditor,75,21
03/2025,221214 Internal Auditor,70,27
03/2025,221214 Internal Auditor,80,20
03/2025,221214 Internal Auditor,95,4
03/2025,221214 Internal Auditor,90,14
03/2025,221214 Internal Auditor,85,21
03/2025,221214 Internal Auditor,55,2
03/2025,221214 Internal Auditor,60,3
03/2025,221214 Internal Auditor,100,1
03/2025,221214 Internal Auditor,45,1
03/2025,323211 Fitter (General),65,18
03/2025,323211 Fitter (General),75,7
03/2025,323211 Fitter (General),70,6
