AsAt,OccGroup,Score,n
02/2025,2112 Music Professionals,60,1
02/2025,2112 Music Professionals,50,1
02/2025,"2121 Artistic Directors, and Media Producers and Presenters",80,1
02/2025,"2121 Artistic Directors, and Media Producers and Presenters",85,1
02/2025,3211 Automotive Electricians,65,8
02/2025,3211 Automotive Electricians,75,6
02/2025,3211 Automotive Electricians,70,8
02/2025,3211 Automotive Electricians,80,1
02/2025,3211 Automotive Electricians,55,5
02/2025,3211 Automotive Electricians,60,3
02/2025,3211 Automotive Electricians,50,6
02/2025,3211 Automotive Electricians,40,1
02/2025,3211 Automotive Electricians,45,1
02/2025,2534 Psychiatrists,65,2
02/2025,2534 Psychiatrists,75,2
02/2025,2534 Psychiatrists,70,2
02/2025,2534 Psychiatrists,85,1
02/2025,2534 Psychiatrists,60,1
02/2025,2514 Optometrists and Orthoptists,75,3
02/2025,2514 Optometrists and Orthoptists,70,5
02/2025,2514 Optometrists and Orthoptists,80,5
02/2025,2514 Optometrists and Orthoptists,55,1
02/2025,2514 Optometrists and Orthoptists,60,1
02/2025,2535 Surgeons,65,1
02/2025,2535 Surgeons,75,1
02/2025,2535 Surgeons,80,1
02/2025,2535 Surgeons,85,2
02/2025,2535 Surgeons,55,1
02/2025,2526 Podiatrists,65,2
02/2025,2526 Podiatrists,75,6
02/2025,2526 Podiatrists,70,6
02/2025,2526 Podiatrists,80,1
02/2025,2526 Podiatrists,50,1
02/2025,"2111 Actors, Dancers and Other Entertainers",75,3
02/2025,"2111 Actors, Dancers and Other Entertainers",85,1
02/2025,4524 Sportspersons,70,1
01/2025,2613 Software and Applications Programmers,65,1023
01/2025,2613 Software and Applications Programmers,75,1563
01/2025,2613 Software and Applications Programmers,70,1268
01/2025,2613 Software and Applications Programmers,80,1370
01/2025,2613 Software and Applications Programmers,95,527
01/2025,2613 Software and Applications Programmers,90,1331
01/2025,2613 Software and Applications Programmers,85,1399
01/2025,2613 Software and Applications Programmers,55,146
01/2025,2613 Software and Applications Programmers,60,279
01/2025,2613 Software and Applications Programmers,50,41
01/2025,2613 Software and Applications Programmers,110,1
01/2025,2613 Software and Applications Programmers,100,77
01/2025,2613 Software and Applications Programmers,105,6
01/2025,2613 Software and Applications Programmers,40,1
01/2025,2613 Software and Applications Programmers,45,7
01/2025,2613 Software and Applications Programmers,25,1
01/2025,2613 Software and Applications Programmers,125,1
01/2025,2613 Software and Applications Programmers,35,1
01/2025,3212 Motor Mechanics,65,442
01/2025,3212 Motor Mechanics,75,235
01/2025,3212 Motor Mechanics,70,328
01/2025,3212 Motor Mechanics,80,113
01/2025,3212 Motor Mechanics,90,19
01/2025,3212 Motor Mechanics,85,40
01/2025,3212 Motor Mechanics,55,89
01/2025,3212 Motor Mechanics,60,170
01/2025,3212 Motor Mechanics,50,28
01/2025,3212 Motor Mechanics,45,5
01/2025,2332 Civil Engineering Professionals,65,817
01/2025,2332 Civil Engineering Professionals,75,1039
01/2025,2332 Civil Engineering Professionals,70,986
01/2025,2332 Civil Engineering Professionals,80,743
01/2025,2332 Civil Engineering Professionals,95,34
01/2025,2332 Civil Engineering Professionals,90,270
01/2025,2332 Civil Engineering Professionals,85,511
01/2025,2332 Civil Engineering Professionals,55,154
01/2025,2332 Civil Engineering Professionals,60,229
01/2025,2332 Civil Engineering Professionals,50,57
01/2025,2332 Civil Engineering Professionals,100,7
01/2025,2332 Civil Engineering Professionals,105,1
01/2025,2332 Civil Engineering Professionals,40,1
01/2025,2332 Civil Engineering Professionals,45,11
01/2025,2332 Civil Engineering Professionals,115,1
01/2025,2411 Early Childhood (Pre-primary School) Teachers,65,515
01/2025,2411 Early Childhood (Pre-primary School) Teachers,75,468
01/2025,2411 Early Childhood (Pre-primary School) Teachers,70,739
01/2025,2411 Early Childhood (Pre-primary School) Teachers,80,300
01/2025,2411 Early Childhood (Pre-primary School) Teachers,95,1
01/2025,2411 Early Childhood (Pre-primary School) Teachers,90,8
01/2025,2411 Early Childhood (Pre-primary School) Teachers,85,90
01/2025,2411 Early Childhood (Pre-primary School) Teachers,55,25
01/2025,2411 Early Childhood (Pre-primary School) Teachers,60,128
01/2025,2411 Early Childhood (Pre-primary School) Teachers,50,8
01/2025,2411 Early Childhood (Pre-primary School) Teachers,45,3
01/2025,2611 ICT Business and Systems Analysts,65,588
01/2025,2611 ICT Business and Systems Analysts,75,1017
01/2025,2611 ICT Business and Systems Analysts,70,722
01/2025,2611 ICT Business and Systems Analysts,80,884
01/2025,2611 ICT Business and Systems Analysts,95,357
01/2025,2611 ICT Business and Systems Analysts,90,867
01/2025,2611 ICT Business and Systems Analysts,85,826
01/2025,2611 ICT Business and Systems Analysts,55,56
01/2025,2611 ICT Business and Systems Analysts,60,173
01/2025,2611 ICT Business and Systems Analysts,50,14
01/2025,2611 ICT Business and Systems Analysts,110,1
01/2025,2611 ICT Business and Systems Analysts,100,46
01/2025,2611 ICT Business and Systems Analysts,45,2
01/2025,2211 Accountants,65,758
01/2025,2211 Accountants,75,1088
01/2025,2211 Accountants,70,1060
01/2025,2211 Accountants,80,833
01/2025,2211 Accountants,95,260
01/2025,2211 Accountants,90,451
01/2025,2211 Accountants,85,751
01/2025,2211 Accountants,55,45
01/2025,2211 Accountants,60,222
01/2025,2211 Accountants,50,9
01/2025,2211 Accountants,110,1
01/2025,2211 Accountants,100,44
01/2025,2211 Accountants,105,2
01/2025,2211 Accountants,40,1
01/2025,2211 Accountants,45,7
01/2025,2211 Accountants,115,1
01/2025,2211 Accountants,35,1
01/2025,2344 Geologists Geophysicists and Hydrogeologists,65,14
01/2025,2344 Geologists Geophysicists and Hydrogeologists,75,11
01/2025,2344 Geologists Geophysicists and Hydrogeologists,70,5
01/2025,2344 Geologists Geophysicists and Hydrogeologists,80,6
01/2025,2344 Geologists Geophysicists and Hydrogeologists,90,1
01/2025,2344 Geologists Geophysicists and Hydrogeologists,85,5
01/2025,2344 Geologists Geophysicists and Hydrogeologists,55,2
01/2025,2344 Geologists Geophysicists and Hydrogeologists,60,1
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",65,176
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",75,294
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",70,178
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",80,255
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",95,182
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",90,186
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",85,227
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",55,23
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",60,42
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",50,10
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",100,7
01/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",45,2
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",65,301
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",75,412
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",70,413
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",80,350
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",95,19
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",90,230
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",85,331
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",55,29
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",60,86
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",50,3
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2
01/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",45,2
01/2025,2345 Life Scientists,65,71
01/2025,2345 Life Scientists,75,82
01/2025,2345 Life Scientists,70,97
01/2025,2345 Life Scientists,80,79
01/2025,2345 Life Scientists,95,23
01/2025,2345 Life Scientists,90,49
01/2025,2345 Life Scientists,85,84
01/2025,2345 Life Scientists,55,31
01/2025,2345 Life Scientists,60,13
01/2025,2345 Life Scientists,50,4
01/2025,2345 Life Scientists,110,1
01/2025,2345 Life Scientists,100,4
01/2025,2345 Life Scientists,105,2
01/2025,"2335 Industrial, Mechanical and Production Engineers",65,713
01/2025,"2335 Industrial, Mechanical and Production Engineers",75,819
01/2025,"2335 Industrial, Mechanical and Production Engineers",70,712
01/2025,"2335 Industrial, Mechanical and Production Engineers",80,639
01/2025,"2335 Industrial, Mechanical and Production Engineers",95,32
01/2025,"2335 Industrial, Mechanical and Production Engineers",90,294
01/2025,"2335 Industrial, Mechanical and Production Engineers",85,566
01/2025,"2335 Industrial, Mechanical and Production Engineers",55,124
01/2025,"2335 Industrial, Mechanical and Production Engineers",60,182
01/2025,"2335 Industrial, Mechanical and Production Engineers",50,40
01/2025,"2335 Industrial, Mechanical and Production Engineers",100,3
01/2025,"2335 Industrial, Mechanical and Production Engineers",105,1
01/2025,"2335 Industrial, Mechanical and Production Engineers",40,5
01/2025,"2335 Industrial, Mechanical and Production Engineers",45,16
01/2025,2339 Other Engineering Professionals,65,619
01/2025,2339 Other Engineering Professionals,75,585
01/2025,2339 Other Engineering Professionals,70,622
01/2025,2339 Other Engineering Professionals,80,535
01/2025,2339 Other Engineering Professionals,95,36
01/2025,2339 Other Engineering Professionals,90,242
01/2025,2339 Other Engineering Professionals,85,455
01/2025,2339 Other Engineering Professionals,55,120
01/2025,2339 Other Engineering Professionals,60,170
01/2025,2339 Other Engineering Professionals,50,43
01/2025,2339 Other Engineering Professionals,100,6
01/2025,2339 Other Engineering Professionals,105,1
01/2025,2339 Other Engineering Professionals,40,3
01/2025,2339 Other Engineering Professionals,45,14
01/2025,2339 Other Engineering Professionals,30,1
01/2025,2341 Agricultural and Forestry Scientists,65,118
01/2025,2341 Agricultural and Forestry Scientists,75,75
01/2025,2341 Agricultural and Forestry Scientists,70,82
01/2025,2341 Agricultural and Forestry Scientists,80,65
01/2025,2341 Agricultural and Forestry Scientists,95,9
01/2025,2341 Agricultural and Forestry Scientists,90,25
01/2025,2341 Agricultural and Forestry Scientists,85,42
01/2025,2341 Agricultural and Forestry Scientists,55,7
01/2025,2341 Agricultural and Forestry Scientists,60,27
01/2025,2341 Agricultural and Forestry Scientists,50,7
01/2025,2341 Agricultural and Forestry Scientists,100,2
01/2025,2341 Agricultural and Forestry Scientists,105,1
01/2025,2341 Agricultural and Forestry Scientists,40,1
01/2025,2341 Agricultural and Forestry Scientists,45,1
01/2025,2544 Registered Nurses,65,1396
01/2025,2544 Registered Nurses,75,978
01/2025,2544 Registered Nurses,70,1527
01/2025,2544 Registered Nurses,80,429
01/2025,2544 Registered Nurses,95,2
01/2025,2544 Registered Nurses,90,17
01/2025,2544 Registered Nurses,85,115
01/2025,2544 Registered Nurses,55,72
01/2025,2544 Registered Nurses,60,260
01/2025,2544 Registered Nurses,50,27
01/2025,2544 Registered Nurses,100,1
01/2025,2544 Registered Nurses,105,2
01/2025,2544 Registered Nurses,40,3
01/2025,2544 Registered Nurses,45,13
01/2025,3513 Chefs,65,1354
01/2025,3513 Chefs,75,740
01/2025,3513 Chefs,70,1150
01/2025,3513 Chefs,80,433
01/2025,3513 Chefs,95,4
01/2025,3513 Chefs,90,67
01/2025,3513 Chefs,85,188
01/2025,3513 Chefs,55,224
01/2025,3513 Chefs,60,513
01/2025,3513 Chefs,50,109
01/2025,3513 Chefs,100,3
01/2025,3513 Chefs,40,1
01/2025,3513 Chefs,45,17
01/2025,3513 Chefs,30,1
01/2025,3513 Chefs,35,1
01/2025,2334 Electronics Engineers,65,216
01/2025,2334 Electronics Engineers,75,234
01/2025,2334 Electronics Engineers,70,225
01/2025,2334 Electronics Engineers,80,184
01/2025,2334 Electronics Engineers,95,11
01/2025,2334 Electronics Engineers,90,73
01/2025,2334 Electronics Engineers,85,158
01/2025,2334 Electronics Engineers,55,61
01/2025,2334 Electronics Engineers,60,63
01/2025,2334 Electronics Engineers,50,17
01/2025,2334 Electronics Engineers,100,4
01/2025,2334 Electronics Engineers,40,1
01/2025,2334 Electronics Engineers,45,7
01/2025,3232 Metal Fitters and Machinists,65,28
01/2025,3232 Metal Fitters and Machinists,75,17
01/2025,3232 Metal Fitters and Machinists,70,21
01/2025,3232 Metal Fitters and Machinists,80,13
01/2025,3232 Metal Fitters and Machinists,85,2
01/2025,3232 Metal Fitters and Machinists,55,29
01/2025,3232 Metal Fitters and Machinists,60,18
01/2025,3232 Metal Fitters and Machinists,50,20
01/2025,3232 Metal Fitters and Machinists,40,1
01/2025,3232 Metal Fitters and Machinists,45,4
01/2025,3232 Metal Fitters and Machinists,30,1
01/2025,2631 Computer Network Professionals,65,241
01/2025,2631 Computer Network Professionals,75,397
01/2025,2631 Computer Network Professionals,70,272
01/2025,2631 Computer Network Professionals,80,349
01/2025,2631 Computer Network Professionals,95,192
01/2025,2631 Computer Network Professionals,90,228
01/2025,2631 Computer Network Professionals,85,339
01/2025,2631 Computer Network Professionals,55,28
01/2025,2631 Computer Network Professionals,60,64
01/2025,2631 Computer Network Professionals,50,8
01/2025,2631 Computer Network Professionals,100,16
01/2025,2631 Computer Network Professionals,40,2
01/2025,2631 Computer Network Professionals,45,3
01/2025,"2342 Chemists, and Food and Wine Scientists",65,122
01/2025,"2342 Chemists, and Food and Wine Scientists",75,92
01/2025,"2342 Chemists, and Food and Wine Scientists",70,81
01/2025,"2342 Chemists, and Food and Wine Scientists",80,78
01/2025,"2342 Chemists, and Food and Wine Scientists",95,5
01/2025,"2342 Chemists, and Food and Wine Scientists",90,27
01/2025,"2342 Chemists, and Food and Wine Scientists",85,85
01/2025,"2342 Chemists, and Food and Wine Scientists",55,14
01/2025,"2342 Chemists, and Food and Wine Scientists",60,21
01/2025,"2342 Chemists, and Food and Wine Scientists",50,4
01/2025,"2342 Chemists, and Food and Wine Scientists",100,2
01/2025,"2342 Chemists, and Food and Wine Scientists",45,1
01/2025,2713 Solicitors,65,37
01/2025,2713 Solicitors,75,85
01/2025,2713 Solicitors,70,56
01/2025,2713 Solicitors,80,101
01/2025,2713 Solicitors,95,3
01/2025,2713 Solicitors,90,55
01/2025,2713 Solicitors,85,111
01/2025,2713 Solicitors,55,2
01/2025,2713 Solicitors,60,15
01/2025,2713 Solicitors,50,2
01/2025,2713 Solicitors,100,1
01/2025,2713 Solicitors,40,2
01/2025,2331 Chemical and Materials Engineers,65,137
01/2025,2331 Chemical and Materials Engineers,75,129
01/2025,2331 Chemical and Materials Engineers,70,164
01/2025,2331 Chemical and Materials Engineers,80,182
01/2025,2331 Chemical and Materials Engineers,95,11
01/2025,2331 Chemical and Materials Engineers,90,61
01/2025,2331 Chemical and Materials Engineers,85,104
01/2025,2331 Chemical and Materials Engineers,55,19
01/2025,2331 Chemical and Materials Engineers,60,38
01/2025,2331 Chemical and Materials Engineers,50,6
01/2025,2331 Chemical and Materials Engineers,100,2
01/2025,2331 Chemical and Materials Engineers,45,2
01/2025,3123 Electrical Engineering Draftspersons and Technicians,65,43
01/2025,3123 Electrical Engineering Draftspersons and Technicians,75,32
01/2025,3123 Electrical Engineering Draftspersons and Technicians,70,37
01/2025,3123 Electrical Engineering Draftspersons and Technicians,80,16
01/2025,3123 Electrical Engineering Draftspersons and Technicians,90,9
01/2025,3123 Electrical Engineering Draftspersons and Technicians,85,13
01/2025,3123 Electrical Engineering Draftspersons and Technicians,55,5
01/2025,3123 Electrical Engineering Draftspersons and Technicians,60,11
01/2025,3123 Electrical Engineering Draftspersons and Technicians,50,2
01/2025,2333 Electrical Engineers,65,378
01/2025,2333 Electrical Engineers,75,340
01/2025,2333 Electrical Engineers,70,325
01/2025,2333 Electrical Engineers,80,303
01/2025,2333 Electrical Engineers,95,12
01/2025,2333 Electrical Engineers,90,102
01/2025,2333 Electrical Engineers,85,194
01/2025,2333 Electrical Engineers,55,69
01/2025,2333 Electrical Engineers,60,106
01/2025,2333 Electrical Engineers,50,32
01/2025,2333 Electrical Engineers,110,1
01/2025,2333 Electrical Engineers,100,2
01/2025,2333 Electrical Engineers,40,1
01/2025,2333 Electrical Engineers,45,16
01/2025,2333 Electrical Engineers,115,1
01/2025,2321 Architects and Landscape Architects,65,138
01/2025,2321 Architects and Landscape Architects,75,156
01/2025,2321 Architects and Landscape Architects,70,172
01/2025,2321 Architects and Landscape Architects,80,62
01/2025,2321 Architects and Landscape Architects,90,6
01/2025,2321 Architects and Landscape Architects,85,30
01/2025,2321 Architects and Landscape Architects,55,3
01/2025,2321 Architects and Landscape Architects,60,23
01/2025,2321 Architects and Landscape Architects,50,3
01/2025,2321 Architects and Landscape Architects,45,1
01/2025,2531 General Practitioners and Resident Medical officers,65,38
01/2025,2531 General Practitioners and Resident Medical officers,75,72
01/2025,2531 General Practitioners and Resident Medical officers,70,48
01/2025,2531 General Practitioners and Resident Medical officers,80,74
01/2025,2531 General Practitioners and Resident Medical officers,95,2
01/2025,2531 General Practitioners and Resident Medical officers,90,12
01/2025,2531 General Practitioners and Resident Medical officers,85,26
01/2025,2531 General Practitioners and Resident Medical officers,55,2
01/2025,2531 General Practitioners and Resident Medical officers,60,12
01/2025,2531 General Practitioners and Resident Medical officers,50,2
01/2025,2247 Management and Organisation Analysts,65,26
01/2025,2247 Management and Organisation Analysts,75,51
01/2025,2247 Management and Organisation Analysts,70,31
01/2025,2247 Management and Organisation Analysts,80,56
01/2025,2247 Management and Organisation Analysts,95,6
01/2025,2247 Management and Organisation Analysts,90,29
01/2025,2247 Management and Organisation Analysts,85,48
01/2025,2247 Management and Organisation Analysts,55,3
01/2025,2247 Management and Organisation Analysts,60,2
01/2025,2347 Veterinarians,65,6
01/2025,2347 Veterinarians,75,18
01/2025,2347 Veterinarians,70,8
01/2025,2347 Veterinarians,80,24
01/2025,2347 Veterinarians,95,2
01/2025,2347 Veterinarians,90,15
01/2025,2347 Veterinarians,85,23
01/2025,2347 Veterinarians,60,3
01/2025,2414 Secondary School Teachers,65,105
01/2025,2414 Secondary School Teachers,75,96
01/2025,2414 Secondary School Teachers,70,150
01/2025,2414 Secondary School Teachers,80,52
01/2025,2414 Secondary School Teachers,90,3
01/2025,2414 Secondary School Teachers,85,17
01/2025,2414 Secondary School Teachers,55,14
01/2025,2414 Secondary School Teachers,60,34
01/2025,2414 Secondary School Teachers,50,1
01/2025,2414 Secondary School Teachers,45,1
01/2025,1341 Child Care Centre Managers,65,7
01/2025,1341 Child Care Centre Managers,75,3
01/2025,1341 Child Care Centre Managers,70,3
01/2025,1341 Child Care Centre Managers,80,1
01/2025,1341 Child Care Centre Managers,60,3
01/2025,1341 Child Care Centre Managers,50,1
01/2025,"2241 Actuaries, Mathematicians and Statisticians",65,34
01/2025,"2241 Actuaries, Mathematicians and Statisticians",75,52
01/2025,"2241 Actuaries, Mathematicians and Statisticians",70,36
01/2025,"2241 Actuaries, Mathematicians and Statisticians",80,76
01/2025,"2241 Actuaries, Mathematicians and Statisticians",95,16
01/2025,"2241 Actuaries, Mathematicians and Statisticians",90,54
01/2025,"2241 Actuaries, Mathematicians and Statisticians",85,75
01/2025,"2241 Actuaries, Mathematicians and Statisticians",55,9
01/2025,"2241 Actuaries, Mathematicians and Statisticians",60,10
01/2025,"2241 Actuaries, Mathematicians and Statisticians",100,2
01/2025,3331 Glaziers,65,2
01/2025,2421 University Lecturers and Tutors,65,194
01/2025,2421 University Lecturers and Tutors,75,137
01/2025,2421 University Lecturers and Tutors,70,189
01/2025,2421 University Lecturers and Tutors,80,149
01/2025,2421 University Lecturers and Tutors,95,22
01/2025,2421 University Lecturers and Tutors,90,52
01/2025,2421 University Lecturers and Tutors,85,96
01/2025,2421 University Lecturers and Tutors,55,24
01/2025,2421 University Lecturers and Tutors,60,79
01/2025,2421 University Lecturers and Tutors,50,12
01/2025,2421 University Lecturers and Tutors,100,6
01/2025,2421 University Lecturers and Tutors,105,1
01/2025,2421 University Lecturers and Tutors,45,2
01/2025,2633 Telecommunications Engineering Professionals,65,136
01/2025,2633 Telecommunications Engineering Professionals,75,171
01/2025,2633 Telecommunications Engineering Professionals,70,141
01/2025,2633 Telecommunications Engineering Professionals,80,104
01/2025,2633 Telecommunications Engineering Professionals,95,7
01/2025,2633 Telecommunications Engineering Professionals,90,51
01/2025,2633 Telecommunications Engineering Professionals,85,83
01/2025,2633 Telecommunications Engineering Professionals,55,27
01/2025,2633 Telecommunications Engineering Professionals,60,33
01/2025,2633 Telecommunications Engineering Professionals,50,7
01/2025,2633 Telecommunications Engineering Professionals,45,6
01/2025,2633 Telecommunications Engineering Professionals,35,1
01/2025,1332 Engineering Managers,65,36
01/2025,1332 Engineering Managers,75,31
01/2025,1332 Engineering Managers,70,26
01/2025,1332 Engineering Managers,80,17
01/2025,1332 Engineering Managers,90,2
01/2025,1332 Engineering Managers,85,7
01/2025,1332 Engineering Managers,55,5
01/2025,1332 Engineering Managers,60,8
01/2025,1332 Engineering Managers,50,3
01/2025,3122 Civil Engineering Draftspersons and Technicians,65,762
01/2025,3122 Civil Engineering Draftspersons and Technicians,75,566
01/2025,3122 Civil Engineering Draftspersons and Technicians,70,842
01/2025,3122 Civil Engineering Draftspersons and Technicians,80,202
01/2025,3122 Civil Engineering Draftspersons and Technicians,95,1
01/2025,3122 Civil Engineering Draftspersons and Technicians,90,3
01/2025,3122 Civil Engineering Draftspersons and Technicians,85,41
01/2025,3122 Civil Engineering Draftspersons and Technicians,55,133
01/2025,3122 Civil Engineering Draftspersons and Technicians,60,267
01/2025,3122 Civil Engineering Draftspersons and Technicians,50,75
01/2025,3122 Civil Engineering Draftspersons and Technicians,40,5
01/2025,3122 Civil Engineering Draftspersons and Technicians,45,17
01/2025,1399 Other Specialist Managers,65,19
01/2025,1399 Other Specialist Managers,75,22
01/2025,1399 Other Specialist Managers,70,10
01/2025,1399 Other Specialist Managers,80,15
01/2025,1399 Other Specialist Managers,95,1
01/2025,1399 Other Specialist Managers,90,4
01/2025,1399 Other Specialist Managers,85,2
01/2025,1399 Other Specialist Managers,55,8
01/2025,1399 Other Specialist Managers,60,2
01/2025,1399 Other Specialist Managers,50,1
01/2025,2322 Cartographers and Surveyors,65,28
01/2025,2322 Cartographers and Surveyors,75,24
01/2025,2322 Cartographers and Surveyors,70,49
01/2025,2322 Cartographers and Surveyors,80,37
01/2025,2322 Cartographers and Surveyors,90,16
01/2025,2322 Cartographers and Surveyors,85,13
01/2025,2322 Cartographers and Surveyors,55,2
01/2025,2322 Cartographers and Surveyors,60,19
01/2025,2322 Cartographers and Surveyors,50,2
01/2025,3233 Precision Metal Trades Workers,65,1
01/2025,3233 Precision Metal Trades Workers,55,1
01/2025,3233 Precision Metal Trades Workers,60,1
01/2025,2245 Land Economists and Valuers,65,10
01/2025,2245 Land Economists and Valuers,75,18
01/2025,2245 Land Economists and Valuers,70,7
01/2025,2245 Land Economists and Valuers,80,8
01/2025,2245 Land Economists and Valuers,95,1
01/2025,2245 Land Economists and Valuers,90,4
01/2025,2245 Land Economists and Valuers,85,16
01/2025,2245 Land Economists and Valuers,55,1
01/2025,2245 Land Economists and Valuers,60,3
01/2025,2336 Mining Engineers,65,84
01/2025,2336 Mining Engineers,75,69
01/2025,2336 Mining Engineers,70,74
01/2025,2336 Mining Engineers,80,53
01/2025,2336 Mining Engineers,95,1
01/2025,2336 Mining Engineers,90,22
01/2025,2336 Mining Engineers,85,31
01/2025,2336 Mining Engineers,55,7
01/2025,2336 Mining Engineers,60,14
01/2025,2336 Mining Engineers,50,2
01/2025,2336 Mining Engineers,40,1
01/2025,2336 Mining Engineers,45,1
01/2025,2612 Multimedia Specialists and Web Developers,65,14
01/2025,2612 Multimedia Specialists and Web Developers,75,18
01/2025,2612 Multimedia Specialists and Web Developers,70,26
01/2025,2612 Multimedia Specialists and Web Developers,80,24
01/2025,2612 Multimedia Specialists and Web Developers,95,2
01/2025,2612 Multimedia Specialists and Web Developers,90,38
01/2025,2612 Multimedia Specialists and Web Developers,85,29
01/2025,2612 Multimedia Specialists and Web Developers,60,4
01/2025,2612 Multimedia Specialists and Web Developers,40,1
01/2025,3223 Structural Steel and Welding Trades Workers,65,74
01/2025,3223 Structural Steel and Welding Trades Workers,75,38
01/2025,3223 Structural Steel and Welding Trades Workers,70,72
01/2025,3223 Structural Steel and Welding Trades Workers,80,13
01/2025,3223 Structural Steel and Welding Trades Workers,95,1
01/2025,3223 Structural Steel and Welding Trades Workers,90,2
01/2025,3223 Structural Steel and Welding Trades Workers,55,11
01/2025,3223 Structural Steel and Welding Trades Workers,60,20
01/2025,3223 Structural Steel and Welding Trades Workers,50,3
01/2025,3223 Structural Steel and Welding Trades Workers,105,1
01/2025,3223 Structural Steel and Welding Trades Workers,40,2
01/2025,3223 Structural Steel and Welding Trades Workers,45,1
01/2025,2349 Other Natural and Physical Science Professionals,65,21
01/2025,2349 Other Natural and Physical Science Professionals,75,29
01/2025,2349 Other Natural and Physical Science Professionals,70,14
01/2025,2349 Other Natural and Physical Science Professionals,80,12
01/2025,2349 Other Natural and Physical Science Professionals,95,3
01/2025,2349 Other Natural and Physical Science Professionals,90,5
01/2025,2349 Other Natural and Physical Science Professionals,85,20
01/2025,2349 Other Natural and Physical Science Professionals,55,2
01/2025,2349 Other Natural and Physical Science Professionals,60,16
01/2025,2349 Other Natural and Physical Science Professionals,50,1
01/2025,2349 Other Natural and Physical Science Professionals,100,6
01/2025,2349 Other Natural and Physical Science Professionals,40,1
01/2025,1331 Construction Managers,65,176
01/2025,1331 Construction Managers,75,199
01/2025,1331 Construction Managers,70,208
01/2025,1331 Construction Managers,80,72
01/2025,1331 Construction Managers,90,2
01/2025,1331 Construction Managers,85,17
01/2025,1331 Construction Managers,55,26
01/2025,1331 Construction Managers,60,44
01/2025,1331 Construction Managers,50,11
01/2025,1331 Construction Managers,45,2
01/2025,2343 Environmental Scientists,65,36
01/2025,2343 Environmental Scientists,75,65
01/2025,2343 Environmental Scientists,70,46
01/2025,2343 Environmental Scientists,80,41
01/2025,2343 Environmental Scientists,95,7
01/2025,2343 Environmental Scientists,90,27
01/2025,2343 Environmental Scientists,85,47
01/2025,2343 Environmental Scientists,55,3
01/2025,2343 Environmental Scientists,60,16
01/2025,2343 Environmental Scientists,50,1
01/2025,2343 Environmental Scientists,110,1
01/2025,2343 Environmental Scientists,100,2
01/2025,2343 Environmental Scientists,45,1
01/2025,2711 Barristers,65,1
01/2025,2711 Barristers,70,1
01/2025,2711 Barristers,80,1
01/2025,2711 Barristers,85,1
01/2025,3132 Telecommunications Technical Specialists,65,71
01/2025,3132 Telecommunications Technical Specialists,75,57
01/2025,3132 Telecommunications Technical Specialists,70,67
01/2025,3132 Telecommunications Technical Specialists,80,29
01/2025,3132 Telecommunications Technical Specialists,90,9
01/2025,3132 Telecommunications Technical Specialists,85,14
01/2025,3132 Telecommunications Technical Specialists,55,14
01/2025,3132 Telecommunications Technical Specialists,60,34
01/2025,3132 Telecommunications Technical Specialists,50,11
01/2025,3132 Telecommunications Technical Specialists,45,5
01/2025,3312 Carpenters and Joiners,65,270
01/2025,3312 Carpenters and Joiners,75,48
01/2025,3312 Carpenters and Joiners,70,119
01/2025,3312 Carpenters and Joiners,80,11
01/2025,3312 Carpenters and Joiners,85,2
01/2025,3312 Carpenters and Joiners,55,29
01/2025,3312 Carpenters and Joiners,60,100
01/2025,3312 Carpenters and Joiners,50,5
01/2025,3312 Carpenters and Joiners,45,3
01/2025,3312 Carpenters and Joiners,35,1
01/2025,2725 Social Workers,65,69
01/2025,2725 Social Workers,75,110
01/2025,2725 Social Workers,70,111
01/2025,2725 Social Workers,80,63
01/2025,2725 Social Workers,95,2
01/2025,2725 Social Workers,90,8
01/2025,2725 Social Workers,85,27
01/2025,2725 Social Workers,55,8
01/2025,2725 Social Workers,60,10
